textDisplay,authorDisplayName,likeCount,publishedAt,sentimen,kategori
Iya bagus banget wah iya <br><br><br><br><br><br><br>Iya in aja biar seneng :v,NoodleCandy123,0,2023-07-15T14:32:00Z
"saya butuh karung disini<a href=""about:invalid#zCSafez""></a>😋",si kun kun,0,2023-07-15T08:25:57Z
Lucuu bangett sena😖,Valkyrie 逃げて,1,2023-07-13T13:00:53Z
Oh jadi sena namanya sena,FG3H 205,0,2023-07-13T12:59:57Z
Sangat jago mainnya ya?,Cakrawala,2,2023-07-13T08:57:20Z
wow,GNGSTR_alan,0,2023-07-13T08:55:41Z
"<a href=""about:invalid#zCSafez""></a>🎉",Adel,0,2023-07-13T05:16:00Z
Senaa kapan main realty nya ??,ଘ૨_Ghaniaa🦖,1,2023-07-13T05:06:59Z
Kayak pernah liat di tiktok,Mosi_MC,0,2023-07-13T04:11:36Z
"Heee tadi sudah diculik sama Garit,dan Nelson. Eh malah begini lah tolong gak usah gitu kocak 🗿",TEAM FORD LEGENDARY Alpha Test,0,2023-07-13T01:52:39Z
"<a href=""https://www.youtube.com/watch?v=R3TECN62fKU&amp;t=0m14s"">0:14</a> sangat jago kok sen....🗿",AndesChannel,3,2023-07-13T01:46:04Z
mama aku mw satu👆,Rega Raka Satria,1,2023-07-13T00:52:20Z
nekoyama atau nekomedi sen?,Erik senpai,0,2023-07-13T00:48:07Z
Mantane Husen awokaokwoakwoa,nandaaaa_kaleh,0,2023-07-13T00:24:23Z
Gimana kabar Totem Megane nya sen😅,Palenggm,0,2023-07-13T00:22:10Z
Tau aja hari2 ku suram :|,falah-railfans)daob(3 crb,2,2023-07-12T23:30:37Z
"Iya deh sena si paling jago main game <a href=""about:invalid#zCSafez""></a>",〘 Ilham 〙,7,2023-07-12T20:17:01Z
Heh,Ilham...,1,2023-07-12T20:42:27Z
suara yg manis 😄,mask ;-;,3,2023-07-12T18:22:02Z
Saya itu nekoyama Sena biasa di panggil Sena nama bapak saya John sena,goosebumbs,0,2023-07-12T17:00:03Z
Mau Re-Debut kah?,MzJava,40,2023-07-12T16:41:21Z
"@Aryasatya maksud? <a href=""about:invalid#zCSafez""></a>",〘 Ilham 〙,1,2023-07-17T04:52:54Z
"@Aryasatya maksud? <a href=""about:invalid#zCSafez""></a>",〘 Ilham 〙,1,2023-07-17T04:52:54Z
"@Aryasatya maksud? <a href=""about:invalid#zCSafez""></a>",〘 Ilham 〙,1,2023-07-17T04:52:54Z
Clara dari honkai promosi 🥰🥰,Yanz,1,2023-07-12T16:39:31Z
koq aq kesindir yak<br>hari hariku kan sangat amat menyedihkan.....,Hyper Gaming,0,2023-07-12T16:25:40Z
Skill issue,Polished GraNEET,0,2023-07-13T01:36:12Z
Skill issue,Polished GraNEET,0,2023-07-13T01:36:12Z
🐱,Wanda Bagus Sebastian,0,2023-07-12T16:04:54Z
Lucu Banget Anaknya Kratos🥰,Mhmmad Diky Gustian,9,2023-07-12T16:01:51Z
maksud🤔,Séina Akiara,0,2023-08-09T14:54:37Z
Gw masih simpen nomor si Sena walau udh gak aktif keknya🗿,GuhXsenpai,0,2023-07-12T16:00:57Z
funfact sena suka banget cosplay jadi clara honkai star rail,Kazuki,7,2023-07-12T15:59:03Z
Asli,〘 Ilham 〙,0,2023-07-12T20:29:53Z
kucing ini kalo di adu sama kecoa menang mana ya,Eko Yogi,0,2023-07-12T15:37:41Z
:3,{AVIONcraft45},0,2023-07-12T15:35:13Z
Iya sena iya,Ao* ch,0,2023-07-12T15:32:31Z
"Vtuber anime paling Ramah sejauh keliatannya<br>Asli pengen gw karungin<a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a>",Muamar,2,2023-07-12T15:29:04Z
Waduh,〘 Ilham 〙,0,2023-07-12T20:31:16Z
"suaranya bagus bgt, calon peserta idol junior nihhh🤩🙌🏻",Jero - Kun,12,2023-07-12T15:26:22Z
&quot;yg lucu dan menyedihkan&quot;<br><br>dalam hati gua : nih anak . . .,aldi muslim,0,2023-07-12T15:25:15Z
Jago bgt ygy <br>Whiff momen 😂,Yanda,0,2023-07-12T15:17:17Z
inidia kucing yang gweh cari😋,ArqanPutra Dewangga,1,2023-07-12T15:11:46Z
Asennnnnnn,Fritzz .,0,2023-07-12T15:11:38Z
Dah lah,aksya karambia,0,2023-07-12T15:07:15Z
"Huh <a href=""about:invalid#zCSafez""></a>",〘 Ilham 〙,0,2023-07-12T20:31:46Z
Happy birthday Sena 🎉🎉🎉,Surya setiawan,2,2023-07-12T15:00:49Z
Lah,〘 Ilham 〙,0,2023-07-12T20:31:57Z
Lah,〘 Ilham 〙,0,2023-07-12T20:31:57Z
Gue yang gak sengaja ngeklik terus di suruh jangan skip fidio ya be like: kenapa ini terjadi WHY!!!,Dead Eye,0,2023-07-12T14:55:59Z
Bocil,〘 Ilham 〙,0,2023-07-12T20:32:33Z
hari hari yg menyedihkan😭😭😭,Stay Halal,1,2023-07-12T14:50:14Z
inimah kucing serba bisah😂,FERDY CHANEL,3,2023-07-12T14:48:43Z
Apakah tydak php🌚,zhafransyatir,0,2023-07-12T14:48:36Z
sen di karungin boleh gak,Apat. AF,1,2023-07-12T14:48:30Z
wah vtuber baru nich... 😅,Taka,1,2023-07-12T14:47:27Z
Ternyata Sena Rubah,Cryztal,0,2023-07-12T14:46:22Z
Anti vtuher tapi kalo yg ini boleh lah 😂😅😊,The BoruX,2,2023-07-12T14:44:25Z
